hour,avg_risk,n_obs
0,9.75153846153846,39
1,9.56103448275862,29
2,9.789166666666667,36
3,9.683529411764706,34
4,9.536944444444444,72
5,10.015865384615385,104
6,9.706857142857142,35
7,9.616145833333333,96
8,9.591794871794871,39
9,9.866756756756757,37
10,9.682340425531915,47
11,9.634848484848485,33
12,9.61625,32
13,9.836875,32
14,9.611538461538462,39
15,9.732121212121212,33
16,9.787058823529412,34
17,9.555937499999999,32
18,9.990333333333332,30
19,9.758695652173913,23
20,9.724285714285715,35
21,9.73741935483871,31
22,9.736363636363636,33
23,9.817555555555556,45
